D-01.01_(Bur.Loy)_613;ABELIMMO;;;;;;;;;;;;;
D-01.02_(Bur.Ass)_616;VIVIUM;;;;;;;;;;;;;
D-01.03_(Bur.Charg)_613;LUMINUS;;;;;;;;;;;;;
D-01.04_(Bur.Tel)_6161;PROXIMUS;;;;;;;;;;;;;
D-01.05_(Bur.Frai.banc.)_657;CBC;;;;;;;;;;;;;
D-01.06_(Bur.Frai.lég.)_6164;MONITEUR BELGE;;;;;;;;;;;;;
D-01.07_(Bur.Alim)_60;COLRUYT;CO&GO;BOULANGERIE;DELHAIZE;SHOP & GO;CRF EXP;PANOS;SHOP BOTA;PALAIS DES THES;LEONIDAS;NAD 02;PAUL;STARBUCKS;NOV
D-01.08_(Bur.Ani)_60;VETERINAIRE;TOM&CO;;;;;;;;;;;;
D-02.01_(RH.Ass)_622;ALLIANZ;;;;;;;;;;;;;
D-02.02.1_(RH.UCM.Salaire)_620;CPAS CINEY;;;;;;;;;;;;;
D-02.02.2_(RH.UCM.ONSS)_621;;;;;;;;;;;;;;
D-02.02.3_(RH.UCM.Preco)_621;;;;;;;;;;;;;;
D-02.02.4_(RH.UCM.FraiGest)_623;CESI;UCM;;;;;;;;;;;;
D-02.03.3_(RH.NdF.FinPDF)_60-61-624;;;;;;;;;;;;;;
D-03.01.1.1_(FF.IT.Web.Heberg.)_6162;OVH;;;;;;;;;;;;;
D-03.01.1.2_(FF.IT.Web.Serv.abo.)_6162;MICROSOFT;;;;;;;;;;;;;
D-03.01.2_(FF.IT.Soft)_6163;;;;;;;;;;;;;;
D-03.01.3_(FF.IT.Hard)_6163;;;;;;;;;;;;;;
D-03.02.1_(FF.Doc.Liv)_641;PRESSES UNIVERSITAIRE;LIBRAIRIE;LIBRE A TOI;CLUB;TULITU;;;;;;;;;
D-03.02.2_(FF.Doc.Jur)_6413;LEFEBVRE SARRUT;;;;;;;;;;;;;
D-03.02.3_(FF.Doc.Pres)_641;BLAST;MÉDOR;MEDIAPART;;;;;;;;;;;
D-03.03_(FF.Forma)_6421;;;;;;;;;;;;;;
D-03.04.01_(FF.Mater.Papet.)_6061;AVA;ACTION;AMAZON;TRAFIC;ZEEMAN;;;;;;;;;
D-03.04.02_(FF.Mater.Mobil.)_2300;BRICO;;;;;;;;;;;;;
D-03.05.01_(FF.Subs.Depen.)_66A;;;;;;;;;;;;;;
D-03.05.02_(FF.Subs.Remb.)_73;;;;;;;;;;;;;;
D-03.06.01_(FF.Projets)_;;;;;;;;;;;;;;
D-Correction comptable_4901;;;;;;;;;;;;;;
R-_CA_Ventes - Forma.)_700;STRIPE;PAYPAL;MONDIAL RELAY;;;;;;;;;;;
R-_CA_Ventes - Goodies)_700;;;;;;;;;;;;;;
R-_CA_Ventes - Le Secret)_700;;;;;;;;;;;;;;
R-_CA_Prestations)_7001;;;;;;;;;;;;;;
R-_Don)_7311;;;;;;;;;;;;;;
R-_Don - Chloé Guyot)_7311;;;;;;;;;;;;;;
R-_Don - Sorina)_7311;;;;;;;;;;;;;;
R-_Cotisations)_7312;;;;;;;;;;;;;;
R-_Subventions _732-734;COMMISS.COMMUNAUT.FRANCAIS;;;;;;;;;;;;;
R-_Subventions  COCOF - Le Secret_734;;;;;;;;;;;;;;
R - Subsides - IEFH;;;;;;;;;;;;;;
R - Subsides - RW;;;;;;;;;;;;;;
R-Correction comptable_4901;;;;;;;;;;;;;;
R-4.Actions- Ateliers VS;;;;;;;;;;;;;;
R-4.Actions- Projet - Visibillustratrice;;;;;;;;;;;;;;
R-4.Actions- Subside;;;;;;;;;;;;;;
R-4.Actions- Subsides - BPS;;;;;;;;;;;;;;
